slug	current_authors	rakuten_author
bara-to-tanpopo	okamura	遠浅　よるべ
barairo-gang	とま雅和	とま
bareeboshi	谷ゆきこ	谷ゆき子
barubaro	ノド山	岩浪れんじ
basutabu-ni-notta-kyoudai	桜井トシフミ	櫻井　稔文
batchiri-scratch	田中カタパルト	ぷなつ
bathroom-guuwa	おかざき真里	オカザキマリ
batman	晴山晴緒	スコット・シュナイダー/グレッグ・カプロ/高木　亮
batman-animated-adventures	彩月つかさ|DiniPaul|KaneBob|TempletonTy	タイ・テンプレトン/ルビー 翔馬 ジェームス
batman-dark-victory	SaleTim	ジェフ・ローブ/ティム・セイル
batman-eternal	AjaDavid	スコット・スナイダー/ジェイムズ・タイノン4他/ジェイソン・ファボック/ダスティ
batman-incorporated	黒曜燐	グラント・モリソン/クリス・バーナム
batman-lil-gotham	FowlerTom	ダスティン・グエン/デレク・フライドルフス/中沢 俊介
batman-no-mans-land	マイク・デオダート・ジュニア|CarielloSergio	ボブ・ゲイル他/アレックス・マリーヴ他/高木 亮
batman-the-bat-manga-jirou-kuwata-edition	桑田二郎	桑田次郎
batsubatsu-shinaide-tsukimine-san	カシバ	夜墨リョウ
batsuichi-de-nakimushi-na-otonari-san	シンギョウガク	十五夜
batsuichi-ga-moteru-nante-kiitemasen	蛭塚都|コミックルーム	亀奈ゆう／COMIC ROOM
battle-girl	伊藤明弘	モビーディック/光用高志
battle-spirits-sword-eyes	一式まさと	矢立肇/一色まさと
battle-staff	唯登詩樹	加藤　雅基
baubau-daijin	藤子不二雄	藤子・Ｆ・不二雄
bb-hell	関根光太郎	渡れい
beast-of-blood	COCO	星名あんじ
beat-again	にのまえなな	火鳥満月
beat-shot	池沢早人師	池沢さとし
beauty-beast	なかはら★ももた	なかはら桃太
behind	竹宮惠子	竹宮恵子
bengonin-yuragi-no-shoudou	山形シン	岡野 める
bengoshi-to-17-sai	茨芽ヒサ	小野 アンビ
beni-ikkon	西海ミナト	桃缶
benihana-no-chousen	江波譲二	高橋美幸/江波じょうじ
beppin-in-the-box	春野まみ	春野まゆ
bessekai-no-kirakira-douki-ga-etchi-na-illustration-o-kaite-iru	saku漫画家	saku
best-of-gekiga-takarazuka	武田京子	宝塚歌劇団/白井鉄造
betterman	山田秋太郎	矢立　肇
big-waver	関口裕行	関口裕之
biidoronotoki	石ノ森章太郎	石森　章太郎
biijiiemu-ga-kikoenai	九月姫	いくざわのぶこ
biikyuu-tenshi	イワタナオミ|江間浩司	岩田　直巳
bike-land	神塚ときお	神塚時生
bikishin-densetsu-momo	Berry Star	Z-ONE/小林雄次
