区分	現slug	title
旧本番	minamisuitadaigakuyakyuubu	南吹田大学野球部
旧本番	chikyuugaiseimeitaiiiba	地球外生命体イーバ
旧本番	uchuusenkanyamato	宇宙戦艦ヤマト
旧本番	aishitaionnatachi	愛したい女たち
旧本番	sutedoujimatsudairatadashiteru	捨て童子松平忠輝
旧本番	sakinokuchibiru	早紀の唇
旧本番	nijiironotorokkii	虹色のトロッキー
旧本番	banyaseinohanran	蛮
旧本番	yamataikokunodaishinjitsu	邪馬台国の大真実
旧本番	tekkoumutekikagakudaimagou	鉄鋼無敵科學大魔號
旧本番	garasunoshironokiroku	ガラスの城の記録
旧本番	noroinowanpiisu	呪いのワンピース
旧本番	norowaretakotou	呪われた孤島
旧本番	koishikutesukyandaru	恋しくてスキャンダル
旧本番	mumeinohitobitoishokuretsuden	無名の人々 異色列伝
旧本番	fuefukidensetsu	笛吹伝説
旧本番	chuushashichauzo	CHUシャしちゃうぞ!
旧本番	konnamonikagassukaa	こんなもんいかがっすかぁ
旧本番	mojamojashitamononaani	もじゃもじゃしたものなーに?
旧本番	zenmaishikakenohanzaihakusho	ゼンマイ仕掛けの犯罪白書
旧本番	tappukunnotanteishitsu	タップ君の探偵室
旧本番	fujimotomasarunokaibuneigakan	フジモトマサルの回文映画館 キネマへまねき
旧本番	yomerabuiesubabara	ヨメラVSババラ
旧本番	utanojouzunamusume	唄の上手な娘
旧本番	hisshoudennougakuen	必勝電脳学園
旧本番	shindokudamisou	新・どくだみ荘
旧本番	haruninarebakusanoame	春になれば草の雨
旧本番	umaretekitakara	生まれてきたから
旧本番	kekkonttenannano	結婚ってなんなの!?
旧本番	samehadaotokotomomojirionna	鮫肌男と桃尻女
旧本番	haretahihagakkouwoyasunde	はれた日は学校をやすんで
旧本番	bokkinseerusuman	ぼっきん性留守マン
旧本番	goddomazaanomusuko	ゴッド・マザーの息子
旧本番	waarudohyouryuuki	ワールド漂流記
旧本番	ippatsuhyakumanmoushiukesourou	一発百万申し受け候
旧本番	oretachiniasuhanaissu	俺たちに明日はないッス
旧本番	dainihontengutouekotoba	大日本天狗党絵詞
旧本番	kaikimiirashoujo	怪奇ミイラ少女
