tier	author_ok	stem	title	etype	number	isbn	date	publisher	rakuten_title	rakuten_author	page_authors	series_name	main_prefix	cand_prefix	n_cands
STRICT	OK	fukuonsei-wa-urusai-juubun-ni	副音声はうるさい十分に	standard	5	9784434346040	2024-10	MUGENUP	副音声はうるさい十分に(5)	英子	英子	エクレアコミック	9784434	9784434	1
STRICT	OK	funsou-deshitara-hatta-made	紛争でしたら八田まで	standard	16	9784065371671	2024-10	講談社	紛争でしたら八田まで(16)	田 素弘	田素弘	モーニング　KC	9784065	9784065	1
STRICT	OK	futago-no-ane-ga-miko-toshite-hikitorarete-watashi-wa-suterareta-tabun-watashi-ga-miko-de-aru	双子の姉が神子として引き取られて、私は捨てられたけど多分私が神子である。	standard	6	9784046839084	2024-10	KADOKAWA	双子の姉が神子として引き取られて、私は捨てられたけど多分私が神子である。 6	雪/池中　織奈/カット	雪	MFC	9784046	9784046	2
STRICT	OK	futari-etchi	ふたりエッチ	standard	92	9784592160922	2024-11	白泉社	ふたりエッチ 92	克・亜樹	克亜樹	ヤングアニマルコミックス	9784592	9784592	2
STRICT	OK	futsuu-no-onna-no-ko-ni-modoritai	ふつうのおんなのこにもどりたい	standard	8	9784199508745	2024-10	徳間書店	ふつうのおんなのこにもどりたい(8)	ふみふみこ	ふみふみこ	リュウコミックス	9784199	9784199	2
STRICT	OK	gabriel-dropout	ガヴリールドロップアウト	standard	15	9784049159912	2024-09	KADOKAWA	ガヴリールドロップアウト(15)	うかみ	うかみ	電撃コミックスNEXT	9784049	9784049	1
STRICT	OK	gakuen-baby-shittaazu	学園ベビーシッターズ	standard	26	9784592222118	2024-12	白泉社	学園ベビーシッターズ 26	時計野 はり	時計野はり	花とゆめコミックス	9784592	9784592	4
STRICT	OK	gakuen-mono-no-otome-game-no-sekai-ni-tensei-shitakedo-cheat-mochi-no-haikei-otoko-seito-datta-you	学園物の乙女ゲームの世界に転生したけど、チート持ちの背景男子生徒だったようです。	standard	7	9784575420395	2024-12	双葉社	学園物の乙女ゲームの世界に転生したけど、チート持ちの背景男子生徒だったようです。(7)	穂積可添/ながせ	穂積可添	モンスターコミックス	9784575	9784575	4
STRICT	OK	gekai-eriize	外科医エリーゼ	standard	13	9784046839404	2024-09	KADOKAWA	外科医エリーゼ 13	mini/yuin	yuin	フロース　コミック	9784046	9784046	5
STRICT	OK	gekidou	ゲキドウ	standard	2	9784088941103	2025-12	集英社	ゲキドウ 2	三澄 スミ/ココカコ	ココカコ / 三澄スミ	ヤングジャンプコミックス	9784088	9784088	2
STRICT	OK	gekikou-kamen	劇光仮面	standard	6	9784098631117	2024-10	小学館	劇光仮面(6)	山口 貴由	山口貴由	ビッグ コミックス	9784098	9784098	2
STRICT	OK	gekikou-kamen	劇光仮面	standard	8	9784098637379	2025-12	小学館	劇光仮面(8)	山口 貴由	山口貴由	ビッグ コミックス	9784098	9784098	1
