slug	title	remaining_gaps
tatoeba-haha-ga	たとえば母が	standard:[5]
manga-project-ekkusu-chousenshatachi	まんがプロジェクトX挑戦者たち	standard:[9, 10]
comic-shin-3-goku-musou-san-battle-iryuujon	コミック真・三國無双3バトルイリュージョン	(1巻が無い):[1, 2, 3, 4, 5, 6]
tales-of-symphonia-4-koma-kings	テイルズオブシンフォニア4コマkings	(1巻が無い):[1, 2]
hamster-family	ハムスターファミリー	(1巻が無い):[1, 2]
daiki-no-baka-h-special	大紀のバカHスペシャル	standard:[3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]
gensou-fantasy	幻想ファンタジー	(1巻が無い):[1, 2, 3]
shinseiki-evangelion-koutetsu-no-girlfriend-2nd-4-koma-manga-gekijou	新世紀エヴァンゲリオン鋼鉄のガールフレンド2nd4コママンガ劇場	(1巻が無い):[1]
tokusen-kobo-chan	特選コボちゃん	standard:[15]
arasu-kagayakeru-tsubasa	Alas～輝ける翼	standard:[9]
mangetsunoyoruni	まんげつのよるに	standard:[2, 4, 5, 6]
motsu-chan	モッちゃん	standard:[2, 3, 4]
sekai-no-meisaku-opera	世界の名作オペラ	(1巻が無い):[1, 2, 3, 4, 5, 6, 7, 8, 9]
osaka-geijutsu-daigaku-daigaku-manga	大阪芸術大学 大学漫画	standard:[7, 8, 9, 10]
bushigin	武士銀	(1巻が無い):[1]
akashiro-tamago	赤白たまご	bunkobon:[3, 4]
hontoni-atta-noroi-no-video-comic	ほんとにあった!呪いのビデオcomic	(1巻が無い):[1, 2]
love-drug	ラブドラッグ	(1巻が無い):[1]
shinshin-agatte-nanbo-taichi-yo-nakuna-2006	新々上がってなンボ!!太一よ泣くな	(1巻が無い):[1, 2, 3]
neko-banashi	ねこばなし	(1巻が無い):[1, 2]
neko-punch	ねこぱんち	standard:[11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]
akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	赤川次郎ミステリー三毛猫ホームズと名探偵たち	(1巻が無い):[1]
tv-animation-major-characters-handbook-heroes	TV ANIMATION MAJOR キャラクターズハンドブック HEROES	(1巻が無い):[1]
nono-chan-zenshuu	ののちゃん 全集	(1巻が無い):[1, 2, 3, 4, 5]
watashi-no-ojou-sama	わたしのお嬢様	(1巻が無い):[1]
shima-kousaku-zenshuu	島耕作全集	standard:[2]
hontou-ni-atta-nama-maji-giretsu-byouin-esupii	本当にあった〔○生〕マジギレッ病院SP	(1巻が無い):[1]
onape	オナぺ	standard:[3, 4]
teiaazu-tou-tiara	ティアーズ・トゥ・ティアラ	(1巻が無い):[1]
dramatic-maestro	ドラマチック・マエストロ	(1巻が無い):[1]
love-neko	ラブ・ネコ	(1巻が無い):[1, 2, 3]
jotei-neo-biki	女帝neo美姫	standard:[2]
shinshin-agatte-nanbo-taichi-yo-nakuna	新々上ってなンボ!!太一よ泣くな	standard:[16, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32]
dfk	DFK	(1巻が無い):[1]
dorabeesu-doraemon-super-baseball-gaiden	ドラベース ドラえもん超野球外伝	(1巻が無い):[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
