slug	edition_type	label	vols	isbn欠け	書影も無し	欠け巻番号
hard-ando-ruuzu	shinsoban	アクション・コミックス(1984)	4	2	2	1,5
heart-kiyatsuchi-izumichiyan	standard	通常版	9	2	2	7,9
helvetica-standard	standard	通常版	3	2	2	2,3
henshin-ninja-arashi	standard	通常版	4	2	2	3,4
higami-chan-jam	standard	通常版	3	2	2	1,2
hitokui-yashiki	standard	通常版	3	2	2	1,3
hondemotte-esp	standard	通常版	3	2	2	1,2
ibu-no-musukotachi	standard	通常版	7	2	2	6,7
idol-sousei-densetsu-princess	standard	通常版	5	2	2	3,4
ittsu-toshishita-jidai	standard	通常版	3	2	2	2,3
kaidanfutariiwa-sama	standard	通常版	3	2	2	1,2
kaminokokuin	standard	通常版	4	2	2	3,4
kariudo-bachi	standard	通常版	3	2	2	1,2
kariudo-no-seiza	standard	通常版	5	2	2	4,5
kokodake-no-futari	standard	通常版	7	2	2	2,3
koufuku-no-susume	standard	通常版	4	2	2	1,2
kozure-ookami	bunkobon	文庫版(小学館文庫 1979)	3	2	2	8,9
kugishi-sabuyan	standard	通常版	7	2	2	6,7
kyou-kara-wa-binetsujin	standard	通常版	5	2	2	2,3
kyuuketsuki-ni-chigainai	standard	通常版	6	2	2	5,6
lady-knights	standard	通常版	5	2	2	1,2
mahiru-lullaby	standard	通常版	4	2	2	1,2
maicching-machiko-sensei	standard	通常版	7	2	2	2,3
maigo-no-ryoubun	standard	通常版	3	2	2	1,2
megami	standard	通常版	3	2	2	3,5
meitantei-edogawa-ranko	standard	通常版	5	2	2	1,3
milky-sensei	standard	通常版	7	2	2	2,4
mitsu-no-aji	standard	通常版	4	2	2	1,2
mitsumegatooru	standard	講談社コミックス版	6	2	2	3,4
mouretsusensei	standard	通常版	5	2	2	4,5
mutsugorou-ga-yuku	standard	通常版	8	2	2	1,2
naki-no-ryuu	standard	通常版	9	2	2	1,2
nanahan-rider	standard	通常版	50	2	2	2,4
naniwayu-ukyouden	standard	通常版	24	2	2	5,6
ninkyou-sakazukigoto-no-subete	standard	通常版	3	2	2	1,2
ore-wa-haruku	standard	通常版	5	2	2	1,2
ore-wa-mandayuu	standard	通常版	3	2	2	1,2
ore-wa-namazumono	standard	通常版	6	2	2	1,2
osomatsu-kun	deluxe	デラックス版	7	2	2	6,7
otokogumi	standard	通常版	25	2	2	10,11
oyakodeka	shinsoban	KCスペシャル	12	2	2	11,12
pachikko-bojou	standard	通常版	3	2	2	1,3
page-1	standard	通常版	9	2	2	6,7
pairazada	standard	通常版	3	2	2	1,3
reikan-shouhou-kabushiki-kaisha	standard	通常版	15	2	2	8,11
robot-nichou-kenjuu	standard	通常版	3	2	2	2,3
saibaa-comics	standard	通常版	3	2	2	5,11
sangekikan	standard	通常版	10	2	2	4,6
satsuma-gishiden	standard	通常版	6	2	2	5,6
sekainorekishi	standard	通常版	9	2	2	2,9
shiawase-no-jikan	shinsoban	アクションコミックス	5	2	2	3,5
show-chan-no-bouken	standard	通常版	3	2	2	5,6
sora-kun-no-tegami	standard	通常版	4	2	2	1,2
spectreman	standard	通常版	7	2	2	6,7
sugar-baby	standard	通常版	8	2	2	1,2
suikoden	standard	通常版	8	2	2	4,5
scramble-egg-yanagisawa	shinsoban	Star comics	8	2	2	5,6
taiyou-no-aji-ga-suru	standard	通常版	3	2	2	1,2
tekkanomakihei	wideban	ワイド版	3	2	2	2,3
tsubodeka-chousho	standard	通常版	9	2	2	3,4
tsukimi-san	standard	通常版	4	2	2	1,2
wanpaku-shiyouchikubai	standard	通常版	5	2	2	1,2
wonder-bit	standard	通常版	4	2	2	2,3
x-man	standard	通常版	5	2	2	4,5
yabou-no-densetsu	standard	通常版	15	2	2	1,2
yose-geininden	standard	通常版	11	2	2	3,4
youjinbou	standard	通常版	19	2	2	1,2
yuzuki-hikaru-no-oshigoto	aizoban	愛蔵版	3	2	2	2,3
zero-taiheiyou-senki	standard	通常版	3	2	2	2,3
1-2-no-1-rou	standard	通常版	15	1	1	6
17-nanasai	standard	通常版	4	1	1	2
81-bunch-no-inu	shinsoban	スコラレディースコミック	3	1	1	1
abners	standard	通常版	2	1	1	2
ai-ga-yuku	standard	通常版	12	1	1	3
ai-no-arashi	standard	通常版	2	1	1	2
ai-no-uta-ni-naritai	standard	通常版	6	1	1	5
aisazu-ni-wa-irarenai	standard	通常版	3	1	1	1
aishite-himeko-san	bunkobon	文庫版	2	1	1	2
akaki-chi-no-eleven	standard	通常版	6	1	1	6
akarui-katei-no-tsukuri-kata	standard	通常版	2	1	1	1
akaten-kyoushi-nashimoto-kotetsu	standard	通常版	4	1	1	4
alabaster	standard	通常版	3	1	1	3
albatross	standard	通常版	2	1	1	2
alien-crash	standard	通常版	2	1	1	1
alien-street	standard	通常版	8	1	1	7
amazon-baby	bunkobon	文庫版	3	1	1	2
amazon-baby	standard	通常版	3	1	1	3
ame-ni-nurete-hot-milk	standard	通常版	2	1	1	2
amerikano-rekishi	aizoban	愛蔵版	2	1	1	2
angel-blood	standard	通常版	5	1	1	1
animal-1	standard	通常版	5	1	1	5
