tier	file	slug	title	kana	rakuten_kana	madb_kana	flags
2	rukkusu-wai-o-erande-shimaimashita	rukkusu-wai-o-erande-shimaimashita	ルックスYを選んでしまいました	ルックスワイオエランデシマイマシタ	ルックスワイヲエランデシマイマシタ ~ヤリコンデ		KANA_DIFF_RAKUTEN
2	ruriiromoyou	ruriiromoyou	瑠璃色もよう	ルリイロモヨウ		ルリイロモヨウ	NOHYPHEN_UNVERIFIED
2	ruutovihi-2sei	ruutovihi-2sei	ルートヴィヒⅡ世	ルートヴィヒ2セイ	ルードヴィヒ ニセイ	ルートヴィヒ 2セイ	SLUG_TOKEN_MISMATCH:ruutovihi
2	ryoku	ryoku	リョク	Ryoku	リョク		KANA_DIFF_RAKUTEN
2	ryoukioukoku	ryoukioukoku	猟奇王国	リョウキオウコク		リョウキオウコク	NOHYPHEN_UNVERIFIED
2	ryuuhitou	ryuuhitou	龍飛騰	リュウヒトウ		リュウヒトウ	NOHYPHEN_UNVERIFIED
2	ryuuhou-kawaso-2005	ryuuhou-kawaso-2005	龍鳳	リュウホウ	リュウホウ	リュウホウ	SLUG_TOKEN_MISMATCH:kawaso
2	ryuuketsuki	ryuuketsuki	流血鬼	リュウケツキ	フジコエフフジオエスエフタンペンコンプリートワー		KANA_DIFF_RAKUTEN
2	ryuuouden	ryuuouden	龍王伝	リュウオウデン		リュウオウデン	NOHYPHEN_UNVERIFIED
2	ryuusei-ouji	ryuusei-ouji	流星王子	リュウセイオウジ	テズカ オサム マンガ ゼンシュウ	リュウセイ オウジ	KANA_DIFF_RAKUTEN
2	s-m-takamiya-2010	s-m-takamiya-2010	S×M	エスエム	エス エム	エス エム	SLUG_TOKEN_MISMATCH:takamiya
2	s-mizushiro-2003	s-mizushiro-2003	S<エス>	エス	エス	エス	SLUG_TOKEN_MISMATCH:mizushiro
2	s-plus	s-plus	S+エスプラス	S+	エス プラス	エス プラス	KANA_DIFF_RAKUTEN;KANA_DIFF_MADB
2	sa07	sa07	SA07	SA07	エスエーゼロナナ　イチ		KANA_DIFF_RAKUTEN
2	saboten	saboten	仙人掌	サボテン	センニンシヨウ	サボテン	KANA_DIFF_RAKUTEN
2	saboten-kun	saboten-kun	サボテン君	サボテンクン	テズカ オサム マンガ ゼンシュウ	サボテンクン	KANA_DIFF_RAKUTEN
2	sadisu-teikku-19	sadisu-teikku-19	サディスティック・19	サディスティックナインティーン	サディスティックナインティーン1	サディス ティック ナインティーン	SLUG_TOKEN_MISMATCH:sadisu
2	saga-2002	saga-2002	SAGA	SAGAサガ	バキ トクベツヘン サガ		KANA_DIFF_RAKUTEN
2	sagami-san-wa-nisemono	sagami-san-wa-nisemono	相上さんはニセモノ	サガミサンワニセモノ	サガミサンハニセモノダイキライナオサナナジミニダ	サガミ サン ワ ニセモノ	KANA_DIFF_RAKUTEN
2	saiaku-no-josei	saiaku-no-josei	最悪の女性	サイアクノジョセイ	モリタ ジュン ジセンシュウ	サイアク ノ ジョセイ	KANA_DIFF_RAKUTEN
2	saibarashiki	saibarashiki	サイバラ式	サイバラシキ		サイバラシキ	NOHYPHEN_UNVERIFIED
2	saigouden	saigouden	西郷伝	サイゴウデン		サイゴウデン	NOHYPHEN_UNVERIFIED
