kind	popularity	season	anime_title	gensaku(animatetimes)
不明	212700	2015-SUMMER	ドラゴンボール超	鳥山明 プロデューサー：橋爪駿輝 野崎理 佐川直子 木戸睦 高見暁 シリーズディレクター：地岡公俊 畑野森生 羽多野浩平 キャラクターデザイン／作画監督：山室直儀 美術設定／美術デ
不明	14513	2018-SPRING	ルパン三世 PART5	モンキー・パンチ(C)TMS・NTV 『ルパン三世 PART5』公式サイト 『ルパン三世』公式Twitter &nbsp; 「ルパン三世 PART5」のグッズを探す <h2 cla
不明	12926	2020-SPRING	攻殻機動隊 SAC_2045	士郎正宗 「 攻殻機動隊 」（講談社 KCデラックス刊）
不明	10962	2013-SUMMER	八犬伝 -東方八犬異聞- 2	あべ美幸「八犬伝-東方八犬異聞-」
不明	8991	2021-FALL	ルパン三世 PART6	モンキー・パンチ
不明	7507	2019-SUMMER	戦乙女の食卓	miHoYo
不明	5499	2022-SPRING	攻殻機動隊 SAC_2045 シーズン２	士郎正宗 「 攻殻機動隊 」（講談社 KCデラックス刊）
不明	4116	2019-SPRING	ベイブレードバーストGT(ガチ)	森多ヒロ
不明	3684	2012-FALL	うーさーのその日暮らし	宇佐義大（ うーさーのその日暮らし ・星海社刊）
不明	3264	2026-WINTER	アンドロイドは経験人数に入りますか？？ 5日間続けて……？	焼肉定食 監督・シリーズ構成：ネコB キャラクターデザイン・色彩設計：月海充
不明	2994	2018-WINTER	みっちりねこ	フレンセル 企画・プロデューサー：佐藤正
不明	2875	2019-WINTER	雨色ココアsideG	IAM電子出版
不明	1458	2015-SUMMER	オーバーロード ぷれぷれぷれあです 特別編	丸山くがね(「 オーバーロード 」／KADOKAWA刊) キャラクター原案：so-bin
不明	942	2023-SUMMER	私の推しは悪役令嬢。 レイとクレアに一問一答	いのり。(愛中出版・一迅社刊) キャラクター原案：花ヶ田 青乃下
不明	632	2023-SUMMER	悲劇の元凶となる最強外道ラスボス女王は民の為に尽くします。mini	天壱（一迅社アイリスNEO／一迅社刊） キャラクター原案：鈴ノ助 松浦ぶんこ
不明	515	2002-SPRING	ワイルド7 another 謀略運河	綾辻行人『 Another 』（角川書店刊） キャラクター原案： いとうのいぢ
不明	411	2022-FALL	まめきちまめこニートの日常	「まめきちまめこ ニートの日常」まめきちまめこ 監督・シリーズ構成：桑原智
不明	380	2023-FALL	まついぬ	赤塚不二夫 （「 おそ松くん 」）
不明	354	2021-WINTER	さよなら私のクラマー ミニアニメ	新川直司『 さよなら私のクラマー 』（講談社KC刊）
不明	352	2018-SPRING	SNSポリス	かっぴー プロデュース：谷内田彰久
不明	321	2021-WINTER	おしえて北斎！-THE ANIMATION-	いわきりなおと 「夢を叶える爆笑！ 日本美術マンガ おしえて北斎！」（サンマーク出版）
