slug	title	authors	year	publisher	total_volumes
shutter-shower	シャッターシャワー	池沢早人師	1980	shueisha	4
sugar-baby	シュガーベビー	高野まさこ	1980	hakusensha	8
night-game	ナイトゲーム	成毛厚子	1980	kodansha	2
hamusarada-kun	ハムサラダくん	ヨシダ忠	1980	seiunsha	3
violence-tokkyuu	バイオレンス特急	中島徳博	1980	shueisha	5
hittoraa-no-musuko	ヒットラーの息子	叶精作	1980	koike-shoin	8
mechiru-metafijiiku	メチル・メタフィジーク	吾妻ひでお	1980	magazine-house	2
raiyaakyouju-no-kogo	ライヤー教授の午後	高橋葉介	1980	asahi-sonorama	1
shichikai-karano-tegami	七階からの手紙	竹宮惠子	1980	asahi-sonorama	2
shimokita-naanaaizumu	下北なあなあイズム	石坂啓	1980	asahi-sonorama	2
usagi-ga-hashiru	兎が走る	弘兼憲史	1980	studio-ship	5
deka-ankou	刑事あんこう	篠原とおる	1980	(unknown)	22
hensoukyoku	変奏曲	竹宮惠子・増山のりえ	1980	asahi-sonorama	5
shoufumarii	娼婦マリー	村祖俊一・高取英	1980	seiunsha	2
yoiyamidoori-no-bun	宵闇通りのブン	高橋葉介	1980	asahi-sonorama	3
yuurei-sentouki	幽霊戦闘機	新谷かおる	1980	akita	1
kaijinakkaaman	怪人アッカーマン	新田たつお	1980	jitsugyo-no-nihon	6
aijin-sengen	愛人宣言	内村月子	1980	kodansha	1
shin-campus-karendaa	新キャンパスかれんだあ	神奈幸子	1980	kodansha	2
shin-genroku-taiheiki	新元禄太平記	秋本治	1980	shueisha	1
haru-ga-kossori	春がこっそり	岩館真理子	1980	shueisha	2
haru-o-yume-mishi	春を夢見し	佐藤史生	1980	shinshokan	1
ankoku-suit	暗黒戦士	新谷かおる	1980	akita	1
mirai-kenji-kun	未来ケンジくん	みなもと太郎	1980	(unknown)	12
toudai-itchokusen	東大一直線	小林よしのり	1980	tokuma	22
kakutou-family	格闘ファミリー	吾妻ひでお	1980	magazine-house	2
kimagure-shijuushi	気まぐれ四銃士	川原由美子	1980	shogakukan	2
koori-no-shiro	氷の城	曽祢まさこ	1980	kodansha	1
ookami-no-kaikisen	狼の回帰線	新谷かおる	1980	(unknown)	1
genkin-tokkoutai	現金特攻隊	新谷かおる	1980	akita	1
bangai-koshien	番外甲子園	内山まもる	1980	scola	18
shirohebi-shoujo	白へび少女	古賀新一	1980	hibari-shobo	3
taketori-fantasia	竹取りファンタジア	西尚美	1980	kodansha	1
subarashiki-bandittsu	素晴らしきバンディッツ	峰岸とおる	1980	kodansha	10
zoku-campus-karendaa	続キャンパスかれんだあ	神奈幸子	1980	kodansha	1
haitoku-no-akashi	背徳の証	内村月子	1980	kodansha	1
hana-no-hitsugi	花の棺	成毛厚子	1980	kodansha	1
hanappe-bazooka	花平バズーカ	永井豪	1980	shueisha	10
soubou-no-daichi-horobu	蒼茫の大地、滅ぶ	田辺節雄	1980	akita	7
keisatsuken-monogatari	警察犬物語	石川サブロウ	1980	shueisha	6
kinmedaruman	金メダルマン	勝木一嘉	1980	shogakukan	4
denki-1-yokku-dai1gou	電気ショック第1号	柳沢きみお	1980	kodansha	1
kaze-no-otoshimono	風のおとしもの	川原由美子	1980	shogakukan	1
ougon-no-suit	黄金の戦士	聖悠紀	1980	daitosha	4
11-gatsudemohanabi	11月でも花火	柴門ふみ	1981	kodansha	1
good-girl	Good girl	柳沢きみお	1981	kodansha	9
ai-ai-gal	I愛ギャル!	原ちえこ	1981	kodansha	1
knock	KNOCK!	川原由美子	1981	shogakukan	4
retsutsu-goo-nana	Let's go奈々!	島貴子	1981	shogakukan	8
misutaa-dorakyura	Mr.ドラ吸ラ	小丸栄子	1981	kodansha	3
the-star-1981	THE☆STAR	里中満智子	1981	kodansha	1
za-kabocha-wine	The・かぼちゃワイン	三浦みつる	1981	kodansha	27
aa-ichirou	ああ一郎	こせきこうじ	1981	shueisha	5
arumaito-senmenki	あるまいとせんめんき	しらいしあい	1981	shueisha	12
itemaebuson	いてまえ武尊	さいとう・たかを	1981	(unknown)	4
ura-deka	うら刑事	緒方恭二	1981	houbunsha	7
ohayou-sora	おはよう空!	まさき輝	1981	kodansha	6
