class	isbn	ym	title	author	publisher	slug	reason
zokkan	9784046606587	2026-11	姉に婚約者と王位を奪われたので、捨てられた者同士慰め合っています。 3	波田　ぱたこ/真白　燈	KADOKAWA	ane-ni-konyakusha-to-oui-o-ubawareta-no-de-suterareta-mono-doushi-nagusameatte-imasu	
zokkan	9784046606570	2026-11	だって望まれない番ですから 5	燦々サンゴ/一ノ瀬　七喜/杉町　のこ	KADOKAWA	datte-nozomarenai-tsugai-desu-kara	
zokkan	9784046608604	2026-11	万能薬師はざまぁを企てない 〜辺境の地で新薬作りに励んでいるので、あなたたちを相	山本　まと/沙夜/仁藤　あかね	KADOKAWA	bannou-yakushi-wa-zamaa-o-kuwadatenai	
zokkan	9784046603111	2026-11	ラスボスの娘に転生したけど、死ぬ運命はお断りです 3	つづみ/sumi	KADOKAWA	rasubosu-no-musume-ni-tensei-shitakedo-shinu-unmei-wa-okotowari-desu	
zokkan	9784160902664	2026-11	竜馬がゆく 18	司馬 遼太郎/鈴ノ木 ユウ	文藝春秋	ryouma-ga-yuku	
zokkan	9784065454732	2026-11	ギフテッド（13）	天樹 征丸/雨宮 理真	講談社	gifted	
zokkan	9784800018373	2026-11	神域の魔法使い〜神に愛された落第生は魔法学院へ通う〜 4	ミヤカミヨロズ/ケンノジ	マッグガーデン	shiniki-no-mahoutsukai	
zokkan	9784800018342	2026-11	十年目、帰還を諦めた転移者はいまさら主人公になる 6	しゅーかま/氷純	マッグガーデン	juunenme-kikan-o-akirameta-tenisha-wa-imasara-shujinkou-ni-naru	
zokkan	9784800018359	2026-11	大商家の愛娘（幼女）ですが、毎日元気いっぱいに暮らしていたら攻略対象の過去トラウ	西園フミコ/ビビリキウイ	マッグガーデン	daishouka-no-manamusume	③先頭セグメント一致(頁max1→巻2)
zokkan	9784065454640	2026-11	メガネ、時々、ヤンキーくん（12）	なるき	講談社	megane-tokidoki-yankee-kun	
zokkan	9784065454718	2026-11	神崎さん、ツノ出てますっ！？（2）	月白 セブン/蘇芳 つむぎ	講談社	kanzaki-san-tsuno-detemasu	
zokkan	9784045002557	2026-11	いやはや熱海くん　6	田沼　朝	KADOKAWA	iyahaya-atami-kun	
zokkan	9784045002489	2026-11	ホテル・メッツァペウラへようこそ 9巻	福田　星良	KADOKAWA	hotel-mettsuapeura-e-youkoso	
zokkan	9784049722789	2026-11	勝手に召喚したくせに「行き遅れだから聖女ではない」と言われました　〜異世界はとて	ぷにちゃん/海石　ともえ	KADOKAWA	katte-ni-shoukan-shita-kuse-ni-ikiokure-dakara-seijo-dewa-nai-to-iwaremashita	
