分類	slug	題	版type	imprint	publisher	版の巻数	多数派	少数派	少数派ISBN
HEAD(前半別社)	hitori-de-ikiru-wa-mamanaranu	ひとりで生きるはままならぬ	None	クリエコミックス	オーバーラップ	3	97848240x2	978486554x1	9784865549720
HEAD(前半別社)	hitoribocchi-no-isekai-kouryaku	ひとりぼっちの異世界攻略	None	ガルドコミックス	オーバーラップ	28	97848240x20	978486554x8	9784865545500,9784865546170,9784865546705,9784865547092,9784865547733,9784865548
HEAD(前半別社)	honto-yajuu	ほんと野獣	None	Kaiohsha comics. Gush comics	海王社	19	97847964x16	978487724x3	9784877248628,9784877248895,9784877241698
HEAD(前半別社)	hoshokusha-kei-mahou-shoujo	捕食者系魔法少女	None	ガンガンコミックスonline	スクウェア・エニックス	3	9784301x2	97847575x1	9784757598546
HEAD(前半別社)	houchounin-ajihei	包丁人味平	None	ジャンプコミックス	リイド社	3	97848458x2	978409x1	9784091622358
HEAD(前半別社)	imuri	イムリ	None	ビームコミックス	KADOKAWA	26	978404x20	97847577x6	9784757736368,9784757736375,9784757739703,9784757742970,9784757746114,9784757749
HEAD(前半別社)	inuta-san	犬田さん	None	ガンガンコミックスpixiv	スクウェア・エニックス	3	9784301x2	97847575x1	9784757598102
HEAD(前半別社)	irasshaimase-sabotendou	いらっしゃいませ!!サボテン堂	None	バーガーSC	スコラ	3	97847962x2	978488275x1	9784882750543
HEAD(前半別社)	isekai-de-slow-life-o-ganbou	異世界でスローライフを〈願望〉	None	ガルドコミックス	オーバーラップ	10	97848240x7	978486554x3	9784865546156,9784865547306,9784865548730
HEAD(前半別社)	isekai-izakaya-gen	異世界居酒屋「げん」	None	このマンガがすごい!comics	宝島社	14	9784299x11	97848002x3	9784800283689,9784800287007,9784800296726
HEAD(前半別社)	isekai-izakaya-nobu-eefa-to-makanai-oyatsu	異世界居酒屋「のぶ」エーファとまかないおやつ	None	このマンガがすごい!comics	宝島社	9	9784299x7	97848002x2	9784800284396,9784800295736
HEAD(前半別社)	isekai-kaeri-no-otsu-san-wa-shuumatsu-sekai-de-musou-suru	異世界還りのおっさんは終末世界で無双する	None	NOVA COMICS	一二三書房	6	97848242x4	978489199x2	9784891997991,9784891998851
HEAD(前半別社)	itazura-oumu-no-seikatsu-zakki	いたずらオウムの生活雑記	None	None	一迅社	4	97847580x3	978404x1	9784046012074
HEAD(前半別社)	jansou-no-saeko-san	雀荘のサエコさん	None	近代麻雀コミックス	竹書房	5	97848019x4	97848124x1	9784812485422
HEAD(前半別社)	jashin-chan-drop-kick	邪神ちゃんドロップキック	None	METEOR COMICS	フレックスコミックス	26	978486675x17	9784593x9	9784593857777,9784593857807,9784593857968,9784593858071,9784593858231,9784593858
HEAD(前半別社)	jikken-doll-dummy-oscar	実験人形ダミー・オスカー	None	『Big Goro』別冊	主婦の友社	5	978488315x3	978407x2	9784074302499,9784073414162
HEAD(前半別社)	jinki-extend	JINKI:EXTEND	None	Blade comics	マッグガーデン	9	978486127x6	9784901926x3	9784901926065,9784901926287,9784901926737
HEAD(前半別社)	jungle-wa-itsumo-hare-nochi-guu	ジャングルはいつもハレのちグゥ	None	ガンガンコミックス	エニックス	10	97847575x7	978487025x3	9784870252455,9784870253247,9784870254657
HEAD(前半別社)	kada-giden	華陀偽伝	None	ヴァルキリーコミックス	キルタイムコミュニケーション	3	97847992x2	978486032x1	9784860329266
HEAD(前半別社)	kaeri-no-kai-o-hajimemasu	帰りの会をはじめます。	None	ガンガンコミックスonline	スクウェア・エニックス	3	9784301x2	97847575x1	9784757597990
