slug	title	route	ei	etype	label	imprint	publisher	min	missing	have	min_isbn	min_date	lower_in
mizushina-takayuki-no-mizu-cinema	みずしな孝之のミズシネマ	seed4	1	standard	通常版		集英社	2	[1]	[2, 3]	9784087821000	2005-09	[0]
momoiro-anzuiro-sakurairo	ももいろあんずいろさくらいろ	canon:volumes	0	standard	通常版	バンブーコミックス	竹書房	2	[1]	[2, 3]	9784801950115	2014-11	[1]
nanahan-rider	750ライダー	seed4	1	bunkobon	文庫版	秋田文庫	秋田書店	2	[1]	[2, 3, 4]	9784253171960	1996-04-10	[0]
nekketsu-daibouken-tairiku	熱血!大冒険大陸	canon:volumes	0	standard	通常版	HOBBY JAPAN COMICS	ホビージャパン	2	[1]	[2, 3, 4, 5, 6]	9784894250178	1994-01	[1]
nina-to-usagi-to-mahou-no-sensha	ニーナとうさぎと魔法の戦車	seed4	1	standard	通常版		集英社	2	[1]	[2, 3]	9784087824919	2013-02-19	[0]
nippon-chinbotsu	日本沈没	canon:extra[4]	5	shinsoban	講談社版	講談社版	講談社	2	[1]	[2, 3]	9784063133462	1992-04	[0, 1, 2, 3, 4, 6, 7, 8]
onsen-e-yukou	温泉へゆこう!	seed4	1	deluxe	デラックス版	ジャンプ・コミックスデラックス	集英社	2	[1]	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]	9784088587523	1997-08-04	[0]
ore-no-sora-keiji-hen	俺の空 刑事編	canon:extra[1]	2	bunkobon	集英社文庫コミック版(8〜11巻)	集英社文庫 コミック版	集英社	8	[1, 2, 3, 4, 5, 6, 7]	[8, 9, 10, 11]	9784086170376	1997-03	[0, 1, 3]
otoko-do-ahou-koshien	男どアホウ甲子園	seed4	1	bunkobon	文庫版	秋田文庫	秋田書店	2	[1]	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]	9784253172677	1996-10-10	[0]
peace-mashuko	PEACE	canon:volumes	0	standard	通常版	Laqia comics	不明	2	[1]	[2, 3]	9784915858277	1992-05-06	[1]
plamo-kyoushirou	プラモ狂四郎	canon:extra[3]	4	deluxe	コミックボンボンデラックス	コミックボンボンデラックス	講談社	4	[1, 2, 3]	[4, 6, 7, 8, 9, 10, 11]	9784063131277		[0, 1, 2, 3]
