重症度	位置	証拠	slug	題	版type	版imprint	版publisher	版の巻数	多数派帯	多数派社名	浮巻番号	浮ISBN	浮帯	浮帯の社名	浮巻発売日	前後の多数派	ズレ月	連番からの想定ISBN	楽天題	楽天叢書	楽天出版社
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON9(36%)+RAKPUB	ookami-koushaku-no-kyuukon	狼公爵の求婚	standard	Missy comics	宙出版	3	978-4-7767x2	宙出版	3	9784867150641	978-4-86715	ジャイブ (発売)	2020-12-01	2巻2019-05→-	19		狼公爵の求婚　3	ネクストFコミックス	ネクストF
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRONLY+RAKPUB	pumpkin-night	パンプキンナイト	standard	Bamboo comics	LINE Digital Frontier	7	978-4-86697x5	LINE Digital Frontier	2	9784801962477	978-4-8019	竹書房	2018-05	-→3巻2019-12	19		パンプキンナイト（2）	バンブーコミックス	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON41(23%)	shina-dark	シャイナ・ダルク	standard	MFコミックス→カドカワコミックスA		4	978-4-8402x2	メディアワークス	4	9784048677189	978-4-04	KADOKAWA	2009-03-27	2巻2007-08→-	19		シャイナ・ダルク〜黒き月の王と蒼碧の月の姫君〜（4）	電撃コミックス	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON21(21%)+RAKPUB	shishunki-bitter-change	思春期ビターチェンジ	standard	POLARIS COMICS	ほるぷ出版	9	978-4-593x7	ほるぷ出版	9	9784866750460	978-4-86675	フレックスコミックス	2019-01-15	7巻2017-06→-	19		思春期ビターチェンジ（9）	ポラリスCOMICS	フレックスコミックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB	strawberry-children	Strawberry children	standard	光彩コミックス	光彩書房	4	978-4-905965x2	光彩書房	4	9784877750329	978-4-87775	光彩書房	2000-03-27	2巻1998-08→-	19		Strawberry　Children（4）	光彩コミックス	光彩書房
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON102(19%)+EDWORD:セレクション	totsugeki-houshi-boranteiabu	突撃奉仕暴ランティア部	standard	Bamboo comics	竹書房	3	978-4-8124x2	竹書房	3	9784801954502	978-4-8019	竹書房	2016-02	2巻2014-07→-	19		突撃奉仕暴ランティア部 3	バンブーコミックス　WINセレクション	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+TITLEDIFF+RAKPUB	trigun	トライガン	standard	少年キャプテンコミックススペシャル	少年画報社	3	978-4-7859x2	少年画報社	3	9784198301859	978-4-19	徳間書店	1999-01	2巻2000-08→-	19		Trigun（3）	少年キャプテンコミックススペシャル	徳間書店
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON12(48%)	unbalance-2	アンバランス×2	standard	ヴァルキリーコミックス	キルタイムコミュニケーション	10	978-4-86032x9	キルタイムコミュニケーション	10	9784799201824	978-4-7992	キルタイムコミュニケーション	2011-12	9巻2010-05→-	19		アンバランス×2（10）（完）	ヴァルキリーコミックス	キルタイムコミュニケーション
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON9(27%)	yuuwaku-recipe	誘惑レシピ	standard	drapコミックス	コアマガジン	5	978-4-86252x3	コアマガジン	5	9784864361101	978-4-86436	コアマガジン	2011-08	4巻2010-01→-	19		誘惑レシピ（5）		
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON35(55%)+RAKPUB	aiteii-oji-san	ITおじさん	standard	ヒーローズコミックスわいるど	小学館クリエイティブ (発売)	3	978-4-86468x2	小学館クリエイティブ	3	9784868050360	978-4-86805	小学館クリエイティブ	2025-01-12	2巻2023-07→-	18		ITおじさん（3）		ヒーローズ
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	akuyaku-reijou-wa-dekiai-route-ni-hairimashita	悪役令嬢は溺愛ルートに入りました!?	standard	ガンガンコミックスup!	スクウェア・エニックス	7	978-4-7575x5	スクウェア・エニックス	7	9784301005643	978-4-301	スクウェア・エニックス	2026-06-20	5巻2024-12→-	18		悪役令嬢は溺愛ルートに入りました！？（コミック）（7）	ガンガンコミックスUP！	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON8(7%)+RAKPUB	aqua-step-up	アクア・ステップ・アップ	standard	バーズコミックス	ソニー・マガジンズ	4	978-4-7897x2	ソニー・マガジンズ	4	9784344802131	978-4-344	幻冬舎	2003-03-24	2巻2001-09→-	18		アクア・ステップ・アップ（4）	バーズコミックス	幻冬舎
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRCOMMON35(22%)+RAKPUB	backgammon	Backgammon	standard		エニックス	3	978-4-7575x2	スクウェア・エニックス	1	9784870253629	978-4-87025	エニックス	1998-10	-→2巻2000-04	18		Backgammon		スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON17(71%)	boku-to-kanojo-no-peke-mittsu	僕と彼女の×××	standard	Blade comics	マッグガーデン	8	978-4-86127x7	マッグガーデン	1	9784901926249	978-4-901926	マッグガーデン	2003-01	-→2巻2004-07	18		僕と彼女の×××（1）	Blade　comics	マッグガーデン
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON102(19%)	chichi-to-higegorira-to-watashi	父とヒゲゴリラと私	standard	Bamboo comics	竹書房	7	978-4-8019x5	竹書房	2	9784812483404	978-4-8124	竹書房	2013-07-08	-→3巻2015-01	18		父とヒゲゴリラと私（2）	バンブーコミックス	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)+TITLEDIFF	final-fantasy-lost-stranger	ファイナルファンタジーロスト・ストレンジャー	standard	ガンガンコミックスSUPER	スクウェア・エニックス	14	978-4-7575x12	スクウェア・エニックス	14	9784301005162	978-4-301	スクウェア・エニックス	2026-05-12	12巻2024-11→-	18		FINAL FANTASY LOST STRANGER（14）	ガンガンコミックス	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON60(72%)+TITLEDIFF	game-sekai-tensei-dankatsu	ゲーム世界転生〈ダン活〉～ゲーマーは〈ダンジョン就活のススメ〉を〈はじめから〉プレイする～@COMIC	standard		TOブックス	5	978-4-86794x3	TOブックス	1	9784866996592	978-4-86699	TOブックス	2022-09-01	-→3巻2024-03	18		ゲーム世界転生〈ダン活〉〜ゲーマーは【ダンジョン就活のススメ】を〈はじめから〉プレイする〜＠COMIC 第1巻	コロナ・コミックス	TOブックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON17(71%)	gamerz-heaven	ゲーマーズヘブン!	standard	Blade comics	マッグガーデン	4	978-4-901926x2	マッグガーデン	4	9784861271366	978-4-86127	マッグガーデン	2005-04-10	2巻2003-10→-	18		ゲーマーズヘブン！（4）	ブレイドコミックス	マッグガーデン
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON16(29%)+EDWORD:特装	gochisou-omega-wa-chuu-to-naku	ごちそうΩはチュウと鳴く	standard	Tulle Comics	ブライト出版	4	978-4-86123x2	ブライト出版	3	9784867871072	978-4-86787	ブライト出版	2024-12-27	2巻2023-06→-	18		ごちそうΩはチュウと鳴く 3 小冊子付き特装版	Tulle　Comics	ブライト出版
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRONLY+RAKPUB	kajou-mousou-shounen	過剰妄想少年	standard	Baby comics	ふゅーじょんぷろだくと	4	978-4-86589x3	ふゅーじょんぷろだくと	1	9784893939593	978-4-89393	ふゅーじょんぷろだくと	2014-10-24	-→2巻2016-04	18		過剰妄想少年	POE　BACKS　BABY　COMICS	ふゅ〜じょんぷろだくと
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON9(27%)	katekyo	カテキョ!	standard	ドラコミックス	コアマガジン	4	978-4-86252x2	コアマガジン	3	9784864361125	978-4-86436	コアマガジン	2011-09	2巻2010-03→-	18		カテキョ！（3）		
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON3(75%)	kimagure-na-jaguar	気まぐれなジャガー	standard	arca comics	Jパブリッシング	4	978-4-86669x3	Jパブリッシング	1	9784908757594	978-4-908757	Jパブリッシング	2017-02	-→2巻2018-08	18		気まぐれなジャガー（1）	arca　comics	Jパブリッシング
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+RAKPUB	kingyoya-koshoten-suitouchou	金魚屋古書店出納帳	standard	YKコミックス	少年画報社	3	978-4-7859x2	少年画報社	3	9784091885524	978-4-09	小学館	2005-02-01	2巻2003-08→-	18		金魚屋古書店出納帳（下）	IKKI COMIX	小学館
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON16(29%)	kirishima-kun-wa-ijimetai	桐島くんはいじめたい	standard	Tulle Comics	ブライト出版	3	978-4-86787x2	ブライト出版	1	9784861239786	978-4-86123	ブライト出版	2023-05-18	-→2巻2024-11	18				
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON56(24%)	mekurumeku	めくるめく	standard	Blade comics avarus	マッグガーデン	4	978-4-86127x3	マッグガーデン	4	9784800001764	978-4-8000	マッグガーデン	2013-07-13	3巻2012-01→-	18		めくるめく（4）	マッグガーデンコミックス　アヴァルスシリーズ	マッグガーデン
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON9(27%)	mousou-elektel	妄想エレキテル	standard	ドラコミックス	コアマガジン	4	978-4-86436x3	コアマガジン	1	9784862526755	978-4-86252	コアマガジン	2009-11	-→2巻2011-05	18		妄想エレキテル		
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON102(19%)	nobunaga-chan-kouki	のぶながちゃん公記	standard	Bamboo comics	竹書房	3	978-4-8124x2	竹書房	3	9784801954243	978-4-8019	竹書房	2015-12	2巻2014-06→-	18		のぶながちゃん公記（3）	バンブーコミックス	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON30(25%)	noomaaku-bakuhaitou	ノーマーク爆牌党	standard	近代麻雀コミックス	竹書房	8	978-4-88475x6	竹書房	8	9784812450901	978-4-8124	竹書房	1996-10	6巻1995-04→-	18		ノーマーク爆牌党（8）	近代麻雀コミックス	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON21(17%)	o-kashira-tsuki	尾かしら付き。	standard	ゼノンコミックス	徳間書店	4	978-4-19x3	徳間書店	4	9784867202487	978-4-86720	コアミックス	2021-08	3巻2020-02→-	18		尾かしら付き。（4）		
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON23(23%)+RAKPUB	okujouhime	屋上姫	standard	Flex comix	ソフトバンククリエイティブ	4	978-4-7973x2	ソフトバンククリエイティブ	4	9784593857210	978-4-593	ほるぷ出版	2013-02	2巻2011-08→-	18		屋上姫（4）	フレックスコミックス	フレックスコミックス
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON21(21%)	ore-to-hero-to-mahou-shoujo	俺とヒーローと魔法少女	standard	POLARIS COMICS	ほるぷ出版	7	978-4-593x5	ほるぷ出版	6	9784866750170	978-4-86675	フレックスコミックス	2018-06	5巻2016-12→-	18		俺とヒーローと魔法少女（6）		
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRONLY+RAKPUB	qt-t	qtμt	standard	ビッグガンガンコミックス	LINE Digital Frontier	5	978-4-909767x3	LINE Digital Frontier	2	9784757553576	978-4-7575	スクウェア・エニックス	2017-05-25	-→3巻2018-11	18		qtμtキューティーミューティー（2）	ビッグガンガンコミックス	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON7(37%)+RAKPUB	rule-ihan-wa-asa-made-eichi	ルール違反は朝までH!?	standard	ラブきゅんcomic	日販アイ・ピー・エス (発売)	5	978-4-909699x4	日販アイ・ピー・エス (発売)	5	9784911186183	978-4-911186	日販アイ・ピー・エス	2024-11-30	4巻2023-05→-	18		ルール違反は朝までH！？〜幼なじみと同居はじめました5	ラブきゅんコミック	モバイルメディアリサーチ
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON56(24%)	rurigaki-yoruko-no-yuigon	瑠璃垣夜子の遺言	standard	Blade comics	マッグガーデン	3	978-4-8000x2	マッグガーデン	1	9784861279799	978-4-86127	マッグガーデン	2012-04	-→2巻2013-10	18		瑠璃垣夜子の遺言 1	BLADE COMICS	マッグガーデン
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON66(17%)+RAKPUB	seiken-no-blacksmith	聖剣の刀鍛冶	standard	MFコミックス	メディアファクトリー	10	978-4-8401x8	メディアファクトリー	9	9784040672588	978-4-04	KADOKAWA	2015-02-23	8巻2013-08→-	18		聖剣の刀鍛冶　9	MFコミックス アライブシリーズ	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRCOMMON23(23%)	sengokuhime	戦極姫	standard	Flex comix	ほるぷ出版	5	978-4-593x3	ほるぷ出版	1	9784797361087	978-4-7973	ソフトバンククリエイティブ	2010-08	-→3巻2012-02	18		戦極姫（1）		
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON3(60%)	sobakistan	サバキスタン	standard	路草COMICS	トゥーヴァージンズ	4	978-4-910352x3	トゥーヴァージンズ	4	9784867910429	978-4-86791	トゥーヴァージンズ	2025-04-21	3巻2023-10→-	18		サバキスタン 4　革命前夜		トゥーヴァージンズ
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON60(72%)	tensei-shitara-koutei-deshita-umarenagara-no-koutei-wa-konosaki-ikinokoreru-ka-comic	転生したら皇帝でした～生まれながらの皇帝はこの先生き残れるか～@COMIC	standard	コロナ・コミックス	TOブックス	7	978-4-86794x5	TOブックス	1	9784866996813	978-4-86699	TOブックス	2022-10-01	-→3巻2024-04	18		転生したら皇帝でした〜生まれながらの皇帝はこの先生き残れるか〜＠COMIC 第1巻		
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON13(19%)+RAKPUB	toushin-youhiden	刀神妖緋伝	standard	MFコミックス. フラッパーシリーズ	メディアファクトリー	4	978-4-88991x2	メディアファクトリー	4	9784840104678	978-4-8401	メディアファクトリー	2002-10-23	2巻2001-04→-	18		刀神妖緋伝　4	MFコミックス フラッパーシリーズ	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON26(59%)	wagahai-wa-neko-madoushi-de-aru	我輩は猫魔導師である	standard	ポルカコミックス	一二三書房	6	978-4-8242x4	一二三書房	1	9784891998394	978-4-89199	一二三書房	2022-08-10	-→3巻2024-02	18		我輩は猫魔導師である（1）		
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	yuru-fuwa-nouka-no-mojibake-skill	ゆるふわ農家の文字化けスキル	standard	ガンガンコミックスup!	スクウェア・エニックス	7	978-4-7575x6	スクウェア・エニックス	7	9784301002130	978-4-301	スクウェア・エニックス	2025-12-26	6巻2024-06→-	18		ゆるふわ農家の文字化けスキル　〜異世界でカタログ通販やってます〜（7）	ガンガンコミックスUP！	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON16(39%)	5-nin-no-ou	5人の王	standard	Daria comics	フロンティアワークス	10	978-4-86657x8	フロンティアワークス	2	9784861349140	978-4-86134	フロンティアワークス	2016-10-22	-→3巻2018-03	17		5人の王 2		
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+EDWORD:新装版/新装+RAKPUB	achira-kochira-bokura	あちらこちらぼくら	standard	ビッグコミックススペシャルヒバナ	小学館	3	978-4-09x2	小学館	3	9784834264487	978-4-8342	ホーム社	2019-04-25	2巻2017-11→-	17		新装版 あちらこちらぼくら 下	eyesコミックス	ホーム社
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRCOMMON27(8%)	boushiya-ellipsis	帽子屋エリプシス	standard	ビーズログコミックス	エンターブレイン	3	978-4-04x2	KADOKAWA	1	9784757744318	978-4-7577	エンターブレイン	2008-09	-→2巻2010-02	17		帽子屋エリプシス	ビーズログコミックス	エンターブレイン
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON3(100%)	chou-adoribu-ouji	超アドリブ王子	standard	GW comics	ガイドワークス	6	978-4-86535x5	ガイドワークス	1	9784906936366	978-4-906936	ガイドワークス	2012-12-20	-→2巻2014-05	17		超アドリブ王子（1）	GW COMICS	ガイドワークス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	dungeon-ni-deai-o-motomeru-nowa-machigatte-iru-darouka-2	ダンジョンに出会いを求めるのは間違っているだろうかⅡ	standard	ヤングガンガンコミックス	スクウェア・エニックス	7	978-4-7575x6	スクウェア・エニックス	7	9784301006510	978-4-301	スクウェア・エニックス	2026-07-10	6巻2025-02→-	17		ダンジョンに出会いを求めるのは間違っているだろうかII（7）	ヤングガンガンコミックス	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON102(19%)	garden-sisters	がーでん姉妹	standard	Bamboo comics	竹書房	7	978-4-8019x5	竹書房	2	9784812487075	978-4-8124	竹書房	2014-07	-→3巻2015-12	17		がーでん姉妹（2）	バンブーコミックス	竹書房
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRCOMMON6(15%)+RAKPUB	hirugao	ひるがお	standard	ACTION COMICS	エンジェル出版	5	978-4-87306x4	エンジェル出版	1	9784575840391	978-4-575	双葉社	2012-03	-→2巻2013-08	17		ひるがお（1）	アクションコミックス	双葉社
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON102(19%)	ken-mo-hororo	けんもほろろ	standard	Bamboo comics	竹書房	4	978-4-8124x2	竹書房	3	9784801953123	978-4-8019	竹書房	2015-08	2巻2014-03→-	17		けんもほろろ（3）	バンブーコミックス	竹書房
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRCOMMON41(23%)+RAKPUB	kuusou-kagaku-x	空想科学X	standard	Dengeki Comics EX	角川グループパブリッシング	5	978-4-04x4	KADOKAWA	1	9784840240956	978-4-8402	メディアワークス	2007-11	-→2巻2009-04	17		空想科学X（1）	DCEX　電撃コミックスEX	アスキー・メディアワークス
