slug	last_pub_year	anilist_status	anilist_end_year
live-run	1999	-	
lost-universe-yoshinaka1998	1999	FINISHED	1999
love-love-love	1999	FINISHED	1999
love-me-sister	1999	-	
lucky-kun	1999	FINISHED	1995
makudonarudo-tanteidan	1999	-	
manchoku-sniper-todome	1999	-	
medarotter-rintarou	1999	FINISHED	1999
miracle	1999	-	
naiivu	1999	-	
nora-1993	1999	-	
odoroki-momo-no-ki-shoutengai	1999	-	
oedo-ibun-juuhachimon	1999	-	
ore-nimo-kure	1999	-	
ore-no-super-torauto	1999	-	
pakurikon	1999	FINISHED	1999
pandora	1999	-	
photon	1999	FINISHED	1999
reizouko-ni-pineapple-pai	1999	FINISHED	1995
ryuusei-choujin-zubaan	1999	-	
sasami-street	1999	FINISHED	1994
satellite-junya	1999	-	
sexless	1999	-	
shampoo-colon	1999	-	
shikkari-chounan	1999	FINISHED	1977
shinainaru-m-e	1999	FINISHED	1999
shock-science	1999	-	
shock-science-r	1999	-	
shounan-genjiroo	1999	-	
shounen-tanteidan	1999	-	
sorekara-no-bonjingumi	1999	-	
sukisuki-gokudou-papa	1999	FINISHED	
tag	1999	-	
takatobi	1999	-	
tasokare-no-yume	1999	FINISHED	1999
tattoo-lover	1999	-	
ten-made-agare	1999	FINISHED	1975
tonda-yatsura	1999	-	
trouble-evocation	1999	-	
uru-onna	1999	-	
yadane	1999	-	
yakusoku-no-ie	1999	FINISHED	
za-king-of-fighters-kyou	1999	FINISHED	1999
01-zero-one	2000	FINISHED	2000
3-yami-3kai	2000	FINISHED	1999
adonisu-no-yuuutsu-na-hibi	2000	-	
akogare-adventure	2000	FINISHED	1986
aqua-naito	2000	FINISHED	2000
at-tension	2000	-	
azumakagami	2000	FINISHED	1996
b-shock	2000	FINISHED	2002
banana-hime-onari	2000	-	
bara-no-ki-ni-bara-no-hana-saku	2000	-	
blaze	2000	-	
cambrian	2000	FINISHED	2000
cherry-1999	2000	-	
chiisana-kyojin-mikuroman	2000	-	
chikyuu-bouei-kigyou-dai-guard	2000	FINISHED	2000
chinmoku-wa-hoshiboshi-no-kawaki	2000	-	
crescent-moon	2000	-	
dr-oki-no-pachinko-kyoushitsu	2000	-	
dream-shokunin	2000	FINISHED	2000
feathertouch-operation	2000	FINISHED	1988
flowering	2000	FINISHED	2000
fuuzoku-damashii	2000	FINISHED	
gakioyaji	2000	-	
gekidan-hoohoo	2000	-	
gokudoo-kun-manyuuki-za-badesuto	2000	-	
h2o-image	2000	FINISHED	2000
hanako-san-nikki	2000	-	
hayawakari-comic-sangokushi	2000	-	
hisonzai-byourigaku-nyuumon	2000	-	
hit-and-run	2000	-	
honeyna-koto	2000	FINISHED	2000
hoshii-nowa-hitotsu-dake	2000	-	
i-s	2000	-	
ii-youniwa-shinaikara	2000	-	
inochi-mijikashi-koiseyo-otome	2000	-	
joker-2000-2	2000	-	
jungle-shounen-jan-bangaihen	2000	-	
kabe-ni-mimi-ari-toire-ni-me-ari	2000	-	
kimi-ni-kisushitai	2000	-	
kirakira	2000	-	
kusakabesho-meikyuuka-omiya-san	2000	-	
legend-of-lemnear	2000	FINISHED	1993
locomotion	2000	FINISHED	1984
oh-pantac-boy	2000	-	
oja-majo-doremi	2000	FINISHED	2000
okonomi-sarari-kun	2000	-	
omae-ga-sekai-o-kowashitai-nara	2000	FINISHED	2000
paper-woman	2000	-	
riot-of-the-world	2000	-	
romancers	2000	FINISHED	
sekishin-densetsu	2000	-	
shiki-soku-ze-koi	2000	-	
shinpen-kaikoteki-youshoku-jijou	2000	-	
shinsetsu-hyaku-monogatari	2000	FINISHED	1990
shiranami	2000	-	
sora-no-meikyuu	2000	FINISHED	1985
survibee	2000	FINISHED	1999
taiheiki-1995	2000	-	
taiyou-ga-matteiru	2000	-	
taiyou-ga-ochitekuru	2000	FINISHED	
talking-lip	2000	-	
teddy-bear-1999	2000	-	
tennessee-waltz	2000	FINISHED	1993
utamaro	2000	FINISHED	2000
yabou	2000	FINISHED	1974
yakyuukyou-no-uta-heiseihen	2000	FINISHED	2002
yatteranneeze	2000	FINISHED	2000
abunai-oka-no-ie	2001	FINISHED	1994
alichino	2001	FINISHED	2001
aoi-chan-panic	2001	FINISHED	1984
backgammon	2001	-	
bagu	2001	FINISHED	2001
barairo-company	2001	FINISHED	2001
bishou-hari	2001	-	
chenjii	2001	FINISHED	
chikuro-youchien	2001	-	
daitouryou	2001	-	
daughter-maker	2001	-	
easy-writer	2001	FINISHED	2001
ebiru-kun	2001	-	
flying-dragon	2001	FINISHED	2016
fuurin-kazan	2001	-	
gyouten-ningen-batsealer	2001	FINISHED	2001
haigorei-24ji	2001	-	
hontou-ni-atta-yukai-na-hanashi	2001	-	
hot-shot-2000	2001	-	
inasezushi	2001	FINISHED	2002
junpaku-no-chi	2001	-	
kageo	2001	-	
kagome-kagome	2001	FINISHED	2001
kanaerareta-negai	2001	FINISHED	1995
katahoo-warai-no-onnatachi	2001	-	
kaze-no-matsurigoto	2001	FINISHED	
kedamono-company	2001	FINISHED	2001
kiseki-de-go	2001	-	
koukou-tenshi	2001	-	
kousoku-angel-engine	2001	-	
kyuukon	2001	FINISHED	2010
lemon-hakusho	2001	FINISHED	1979
mahou-o-shinjirukai	2001	FINISHED	2001
maken-x-another	2001	FINISHED	2001
matamata-oboretai	2001	FINISHED	2001
namida-no-rikujoubu	2001	FINISHED	1985
nazonazo-kaijin-zonaa-kun	2001	-	
nega-poji	2001	-	
night-lovers	2001	-	
occult-virgin	2001	-	
pachinko-bakuretsu-musume	2001	-	
pachinko-road	2001	FINISHED	2001
pangin-chan	2001	-	
