判定	分類	slugA(年付)	slugB(相手)	A巻数	B巻数	ISBN交差	A題	B題	A著者	B著者	A開始年	B開始年	A公開slug	B公開slug
別題ISBN無交差=概ね正当	B_基底頁あり	goomanizumu-sengen-special-daitouaron-2019	goomanizumu-sengen-special-daitouaron	1	1	0	ゴーマニズム宣言SPECIAL大東亜論	ゴーマニズム宣言SPECIAL大東亜論 第二部	小林よしのり	小林よしのり	2014	2015	goomanizumu-sengen-special-daitouaron-2019	goomanizumu-sengen-special-daitouaron
別題ISBN無交差=概ね正当	B_基底頁あり	gunjou-2010	gunjou	3	5	0	羣青	群青	中村珍/Unrequited Love/Tragedy/LGBTQ+ Themes/Fugitive/Yuri/Crime/Suicide/Travel/Revenge/Denpa/Psychosexual/Seinen	桐原いづみ/坂本虹/Seinen	2010	2012	gunjou-2010	gunjou
別題ISBN無交差=概ね正当	B_基底頁あり	happy-family-1998	happy-family	1	5	0	ハッピー・ファミリーエクストラ	ハッピー・ファミリー	三原ミツカズ	三原ミツカズ/Josei	1998	1997	happy-family-1998	happy-family
別題ISBN無交差=概ね正当	B_基底頁あり	hashire-merosu-2010	hashire-merosu	1	3	0	走れメロス 富嶽百景	走れメロス	広岡球志/太宰治	太宰治/おおすみ正秋	2010	1992	hashire-merosu-hirooka-2010	hashire-merosu
別題ISBN無交差=概ね正当	B_基底頁あり	higurashi-no-naku-koro-ni-kai-2007	higurashi-no-naku-koro-ni-kai	4	8	0	ひぐらしのなく頃に解 目明し編	ひぐらしのなく頃に解 祭囃し編	方條ゆとり/Revenge/Denpa/Youkai/Torture/Tragedy/Gore/Mythology/Shounen/Curses	鈴羅木かりん/Conspiracy/Revenge/Crime/Survival/Torture/Youkai/Tragedy/Shounen/Adoption	2007	2007	higurashi-no-naku-koro-ni-kai-2007	higurashi-no-naku-koro-ni-kai
別題ISBN無交差=概ね正当	B_基底頁あり	higurashi-no-naku-koro-ni-kai-2009	higurashi-no-naku-koro-ni-kai	6	8	0	ひぐらしのなく頃に解 皆殺し編	ひぐらしのなく頃に解 祭囃し編	桃山ひなせ/Tragedy/Conspiracy/Revenge/Time Loop/Shounen/Crime/Youkai/Mythology/Politics	鈴羅木かりん/Conspiracy/Revenge/Crime/Survival/Torture/Youkai/Tragedy/Shounen/Adoption	2009	2007	higurashi-no-naku-koro-ni-kai-2009	higurashi-no-naku-koro-ni-kai
別題ISBN無交差=概ね正当	B_基底頁あり	hurricane-1996	hurricane	1	1	0	Hurricane	ハリケーン	ワタセセイゾウ	ワタセセイゾウ	1996	1989	hurricane-1996	hurricane
別題ISBN無交差=概ね正当	B_基底頁あり	kaiten-mutenmaru-2015	kaiten-mutenmaru	2	2	0	回転むてん丸 第2章 ひかりの旅路	回転むてん丸	マイクロマガジン社	マイクロマガジン社	2015	2014	kaiten-mutenmaru-2015	kaiten-mutenmaru
別題ISBN無交差=概ね正当	B_基底頁あり	kaitou-joker-2025	kaitou-joker	1	28	0	かいとうジョーカー	怪盗ジョーカー	たかはしひでやす/怪盗/謎解き	たかはしひでやす	2025	2008	kaitou-joker-2025	kaitou-joker
別題ISBN無交差=概ね正当	B_基底頁あり	kami-no-inu-1996	kami-no-inu	2	4	0	神の犬 ブランカⅡ	神の犬	谷口ジロー/Seinen/Military/Animals	谷口ジロー/Seinen/Military/Animals	1996	2000	kami-no-inu-1996	kami-no-inu
