slug	title	edition	numbers
suteki-na-kekkon	すてきな結婚	文庫版	3,4
taishou-gakusei-aisaika	大正學生愛妻家	通常版	3,4
tale-of-rose-knight	Tale of Rose Knight	通常版	3,4
tales-of-destiny-inomata-2000	Tales of Destiny	通常版	3,4
tales-of-destiny2	Tales of Destiny2	通常版	3,4
tales-of-symphonia-4-koma-kings	テイルズオブシンフォニア4コマkings	通常版	3,4,5
tensei-kenja-no-yarinaoshi	転生賢者のやり直し	通常版	3,4,5
tokyo-babylon	東京BABYLON	通常版（1992–2012）	3,4
tsubanari-no-tachi	鍔鳴の太刀	通常版	3,4,5,6,7,8,9
yandere-mahoutsukai-wa-sekizou-no-otome-shika-aisenai	ヤンデレ魔法使いは石像の乙女しか愛せない	通常版	3,4,5
yoru-shibari-oobaado	夜縛◆夜明曲(オーバード)	通常版	3,4,5,6,7,8,9
yuugiou-faibudiizu	遊☆戯☆王ファイブディーズ	通常版	3,4,5,6,7,8
zenchiteki-na-dokusha-no-shiten-kara	全知的な読者の視点から	通常版	3,4,5
zense-coupling	前世カップリング	デラックス版	3,4,5,6,7
1-kakeru-mugen-keikenchi-ichi-de-level-appu-suru-ore-wa-saisoku-de-isekai-saikyou-ni-narimashita	1×∞経験値1でレベルアップする俺は、最速で異世界最強になりました!	通常版	2,3
12ji-no-kenryokusha	12時の権力者	通常版	2,3,4
15sai	15才	通常版	2,3
16-nen-kimi-o-omou-to-konnani-ookiku	16年、君を想うとこんなに大きく…♡	通常版	2,3,4,5
165185	165185	通常版	2,3,4
2-i-4-6	2・4・6	通常版	2,3
24-ten-to-konyaku-haki-sareta-reijou-wa-ringoku-no-outaishi-ni-kanpeki-na-hanayome-to-aisareru	「24点」と婚約破棄された令嬢は、隣国の王太子に完璧な花嫁と愛される	通常版	2,3
26-sai-shojo-charao-joushi-ni-dakaremashita	26歳処女、チャラ男上司に抱かれました	通常版	2,3
3-byougo-yajuu	3秒後、野獣。	通常版	2,3,4,5,6,7
36	36-サンジュウロク-	通常版	2,3
aburabu	あぶらぶ	通常版	2,3
ahoudori-no-tomarigi	あほう鳥の止り木	通常版	2,3
ai-ga-nakereba-idol-dekinai	愛がなければアイドルできない	通常版	2,3,4
aijitsu-to-hanayome	愛日と花嫁	通常版	2,3
aji-ichimonme-nippon-shoku-kikou	味いちもんめ にっぽん食紀行	通常版	2,3,4,5,6
akatsuki-no-majo-reishii-wa-jiyuu-ni-ikitai	暁の魔女レイシーは自由に生きたい	通常版	2,3
akinai-damashii	アキナイ☆ダマシイ	通常版	2,3
akiraka-ni-nenrei-o-sashou-shite-iru-joshi-joshikousei-vtuber	あきらかに年齢を詐称している女子高生VTuber	通常版	2,3
aku-no-soshiki-no-kyuujin-koukoku	悪の組織の求人広告	通常版	2,3
akumade-majo-no-yuuwaku-desu-kara	あくまで魔女の誘惑ですから	通常版	2,3,4
akuyaku-reijou-route-kara-kaihou-saremashita	悪役令嬢ルートから解放されました!	通常版	2,3,4
ame-no-hi-wa-koi-o-suru	雨の日は恋をする	通常版	2,3,4,5,6,7
anastasia-no-ikita-kokonokakan	アナスタシアの生きた9日間	通常版	2,3
anata-ni-miren-wa-arimasen	貴方に未練はありません!	通常版	2,3,4
anata-no-oshiro-no-kobito-san	あなたのお城の小人さん	通常版	2,3,4
angel-beat	ANGEL❤BEAT	デラックス版	2,3,4,5,6,7,8,9,10,11,12,13,14
arasa-dakedo-hatsukoi-desu	アラサーだけど、初恋です。	通常版	2,3,4,5,6,7
arasa-ga-vtuber-ni-natta-hanashi	アラサーがVTuberになった話。	通常版	2,3,4
arekusandaa-eiyuu-senki	アレクサンダー英雄戦記	デラックス版	2,3
arisa	ARISA	通常版	2,3,4,5,6,7,8,9,10,11,12
aru-hi-totsuzen-gal-no-iinazuke-ga-dekita	ある日突然、ギャルの許嫁ができた	通常版	2,3
atama-no-naka-no-are-o-tabetai	アタマの中のアレを食べたい	通常版	2,3,4,5,6,7
atarashii-konyakusha-wa-watashi-o-medetakute-shikata-nai	新しい婚約者は私を愛でたくて仕方ない	通常版	2,3
atena-no-sotsugyoushiki	アテナの卒業式	通常版	2,3,4
ateuma-chara-no-kuseshite-supadari-ouji-ni-chouai-sarete-imasu	当て馬キャラのくせして、スパダリ王子に寵愛されています。	通常版	2,3,4
